ID,WeekdayOrWeekend,TimeOfCollectingSampleYear,TimeOfCollectingSampleMonth,TimeOfCollectingSampleDay,Frequency,LengthOfTIme,DidNotUseMobilePhone,FirstDailyPhoneUsage,FirstMotivation,BeforeUseDoingWhat,WhyStopUsing,po_interested,ne_sad,ne_ashamed,po_excited,ne_irritable,ne_nervous,ne_guilty,ne_scared,ne_afraid,po_proud,UnhappyEvent,UnhappyEventRelateToPhone,UnhappyEvent_interested,UnhappyEvent_irritable,UnhappyEvent_excited,UnhappyEvent_ashamed,UnhappyEvent_sad,UnhappyEvent_nervous,UnhappyEvent_guilty,UnhappyEvent_scared,UnhappyEvent_proud,UnhappyEvent_afraid,UnhappyEvent_regulation,UnhappyEventRegulation_device,UnhappyEventRegulation_phone,HappyEvent,HappyEventRelateToPhone,HappyEvent_interested,HappyEvent_irritable,HappyEvent_excited,HappyEvent_ashamed,HappyEvent_sad,HappyEvent_nervous,HappyEvent_guilty,HappyEvent_scared,HappyEvent_proud,HappyEvent_afraid,HappyEvent_Strategies,HappyEventRegulation_devices,HappyEventRegulation_phone
180707,1,2018,11,8,2,4,0,1,4,1,11,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,0,NA
180707,1,2018,11,7,1,2,0,1,4,1,11,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,0,NA
280122,2,2018,11,20,5,0.2,0,4,2,1,11,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
280141,2,2018,11,20,3,2.2646,0,4,2,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
170405,1,2018,11,16,1,1,0,1,1,1,11,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,NA,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,NA
170405,1,2018,11,14,1,1,0,1,1,1,11,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,NA,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,NA
170405,1,2018,11,13,1,1,0,1,1,1,11,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,NA,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,NA
170405,2,2018,11,12,1,1,0,1,1,1,11,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,NA,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,NA
170405,1,2018,11,7,1,1,0,1,1,1,11,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,NA,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,NA
170405,1,2018,11,8,1,1,0,1,1,1,11,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,NA,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,NA
170408,1,2018,11,2,3,4,0,1,1,3,11,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,NA,4,21,1,1,1,1,1,1,1,1,1,1,2,0,NA
170408,1,2018,11,8,2,2,0,2,2,3,11,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,NA,4,21,1,1,1,1,1,1,1,1,1,1,2,0,NA
170408,1,2018,11,1,1,1,0,1,1,3,11,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,NA,4,21,1,1,1,1,1,1,1,1,1,1,2,0,NA
170410,1,2018,11,2,2,1,0,1,1,2,11,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,NA,4,21,1,1,1,1,1,1,1,1,1,1,2,0,21
170421,1,2018,11,7,1,1,0,1,1,1,11,1,1,1,1,1,2,1,1,1,2,4,21,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,4,21,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
180706,1,2018,11,8,0,0,1,1,2,4,3,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,21,4,21,1,1,1,1,1,1,1,1,1,1,2,0,21
180706,1,2018,11,7,0,0,1,1,2,4,3,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,21,4,21,1,1,1,1,1,1,1,1,1,1,NA,0,NA
270411,2,2018,11,26,5,3,0,3,4,1,21,1,1,1,1,1,1,1,1,1,1,4,NA,1,1,1,1,1,1,1,1,1,1,2,NA,NA,4,NA,1,1,1,1,1,1,1,1,1,1,2,NA,NA
270411,2,2018,11,19,4,3,0,3,4,1,21,1,1,1,1,1,1,1,1,1,1,4,NA,1,1,1,1,1,1,1,1,1,1,2,NA,NA,4,NA,1,1,1,1,1,1,1,1,1,1,2,NA,NA
270411,2,2018,11,20,1,0.33,0,3,4,1,21,1,1,1,1,1,1,1,1,1,1,4,NA,1,1,1,1,1,1,1,1,1,1,2,NA,NA,4,NA,1,1,1,1,1,1,1,1,1,1,2,NA,NA
270411,2,2018,11,21,1,0.33,0,3,4,1,21,1,1,1,1,1,1,1,1,1,1,4,NA,1,1,1,1,1,1,1,1,1,1,2,NA,NA,4,NA,1,1,1,1,1,1,1,1,1,1,2,NA,NA
270411,2,2018,11,22,1,0.33,0,3,4,1,21,1,1,1,1,1,1,1,1,1,1,4,NA,1,1,1,1,1,1,1,1,1,1,2,NA,NA,4,NA,1,1,1,1,1,1,1,1,1,1,2,NA,NA
270411,2,2018,11,23,1,0.5,0,3,4,1,21,1,1,1,1,1,1,1,1,1,1,4,NA,1,1,1,1,1,1,1,1,1,1,2,NA,NA,4,NA,1,1,1,1,1,1,1,1,1,1,2,NA,NA
270411,2,2018,11,29,1,0.33,0,3,4,1,21,1,1,1,1,1,1,1,1,1,1,4,NA,1,1,1,1,1,1,1,1,1,1,2,NA,NA,4,NA,1,1,1,1,1,1,1,1,1,1,2,NA,NA
270411,2,2018,11,27,1,0.33,0,3,4,1,11,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,21,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,21
270411,2,2018,11,28,1,0.33,0,3,4,1,21,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,21,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,21
270411,2,2018,11,16,1,0.33,0,3,4,1,21,1,1,1,1,1,1,1,1,1,1,4,NA,1,1,1,1,1,1,1,1,1,1,2,NA,NA,4,NA,1,1,1,1,1,1,1,1,1,1,2,NA,NA
280109,2,2018,11,20,1,1,0,4,2,1,11,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,4,21,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
280109,2,2018,11,26,2,4,0,3,1,4,11,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,4,21,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
280109,2,2018,11,21,1,2.2646,0,4,2,1,11,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,4,21,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
280109,2,2018,11,22,1,2.2646,0,4,2,1,11,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,4,21,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
280109,2,2018,11,27,1,0.16,0,4,2,1,11,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,21,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,21
170420,2,2018,10,29,2,2,0,2,2,1,21,2,1,1,2,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,NA,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,NA
270424,2,2018,11,16,2,1.5,0,4,2,1,11,2,1,1,2,2,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,NA,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,NA
180732,1,2018,11,14,1,0.5,0,4,2,1,11,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,11,21,1,1,1,1,1,1,1,1,1,1,2,0,21
180732,1,2018,11,8,3,3,0,1,2,1,11,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,31,21,1,1,1,1,1,1,1,1,1,1,2,0,21
180732,1,2018,11,6,1,2,0,1,2,1,11,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,31,21,1,1,1,1,1,1,1,1,1,1,3,0,21
270427,2,2018,11,12,3,2,0,2,1,1,12,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,NA,31,21,1,1,1,1,1,1,1,1,1,1,2,NA,21
270427,2,2018,11,15,1,0.33,0,4,2,1,11,1,1,1,1,1,1,1,1,1,1,4,21,1,1,1,1,1,1,1,1,1,1,2,NA,NA,31,21,1,1,1,1,1,1,1,1,1,1,2,NA,NA
180704,1,2018,11,8,1,0.8,0,4,1,1,11,1,1,1,1,1,1,1,1,1,1,31,21,1,1,1,1,2,1,1,1,1,1,NA,NA,NA,4,21,1,1,1,1,1,1,1,1,1,1,NA,0,NA
180704,1,2018,11,13,1,0.8,0,1,1,1,11,2,2,2,2,2,2,2,2,2,2,11,21,3,3,3,3,3,3,3,3,1,1,NA,NA,NA,4,21,1,1,1,1,1,1,1,1,1,1,NA,0,NA
280133,2,2018,11,30,1,0.7,0,4,2,1,11,1,1,1,1,2,1,1,1,1,1,4,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,2,NA,21
280120,2,2018,11,29,4,1,0,4,2,1,11,1,1,1,1,2,1,1,1,1,1,4,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,21,1,1,1,1,1,1,1,1,1,1,2,NA,21
170417,1,2018,11,1,1,3,0,4,2,1,11,1,1,1,1,1,1,1,1,1,1,23,21,1,5,1,5,5,1,4,5,1,2,NA,NA,NA,4,21,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
