"ID","TimeOfCollectingSampleYear","TimeOfCollectingSampleMonth","TimeOfCollectingSampleDay","AgeAtFirstPhoneUse","FirstPhoneUsage","SecondPhoneUsage","ThirdPhoneUsage","FourthPhoneUsage","OtherUsage","OtherUsage_specify","OnlineSocialSupport1","OnlineSocialSupport2","OnlineSocialSupport3","OnlineSocialSupport4","OnlineSocialSupport5","OnlineSocialSupport6","OnlineSocialSupport7","OnlineSocialSupport8","OnlineSocialSupport9","OnlineSocialSupport10","OnlineSocialSupport11","EmotionRegulationEfficacy1","EmotionRegulationEfficacy2","EmotionRegulationEfficacy3","EmotionRegulationEfficacy4","EmotionRegulationEfficacy5","EmotionRegulationEfficacy6","EmotionRegulationEfficacy7","EmotionRegulationEfficacy8","EmotionRegulationEfficacy9","EmotionRegulationEfficacy10","EmotionRegulationEfficacy11","EmotionRegulationEfficacy12","Addiction1","Addiction2","Addiction3","Addiction4","Addiction5","Addiction6","Addiction7","Addiction8","Addiction9","Addiction10","SocialAnxiety1","SocialAnxiety2","SocialAnxiety3","SocialAnxiety4","SocialAnxiety5","SocialAnxiety6","SocialAnxiety7","SocialAnxiety8","SocialAnxiety9","SocialAnxiety10","SocialSelfEfficacy1","SocialSelfEfficacy2","SocialSelfEfficacy3","SocialSelfEfficacy4","SocialSelfEfficacy5","SocialSelfEfficacy6","ParentalSchoolInvolvement1","ParentalSchoolInvolvement2","ParentalSchoolInvolvement3","ParentalSchoolInvolvement4","ParentalSchoolInvolvement5","ParentalSchoolInvolvement6","ParentalSchoolInvolvement7","ParentalSchoolInvolvement8","ParentalSchoolInvolvement9","ParentalSchoolInvolvement10","SelfControl1","SelfControl2","SelfControl3","SelfControl4","SelfControl5","SelfControl6","WeekdaysPhoneUse","WeekendPhoneUse","WeekdaysStudy","WeekendStudy","OfflineSocialSupport1","OfflineSocialSupport2","OfflineSocialSupport3","OfflineSocialSupport4","OfflineSocialSupport5","OfflineSocialSupport6","OfflineSocialSupport7","OfflineSocialSupport8","OfflineSocialSupport9","OfflineSocialSupport10","OfflineSocialSupport11","Hukou","Age","Grade","Class","Gender"
170401,2018,12,31,10,1,NA,4,2,NA,"                                                                                                    ",2,4,3,4,3,1,1,1,1,2,4,4,3,4,5,5,5,2,5,5,5,5,5,2,1,1,1,1,1,1,2,2,1,0,1,0,1,2,1,2,2,1,2,4,5,1,4,3,5,1,1,5,5,5,5,5,5,4,5,4,5,5,4,3,5,1,2,5,6,5,4,4,4,5,5,5,1,1,3,5,3,13,1,4,1
170402,2018,12,31,8,1,NA,NA,3,NA,"                                                                                                    ",2,3,2,1,4,4,4,4,4,3,3,2,2,2,2,1,1,1,1,3,3,2,1,3,1,1,2,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,2,4,4,3,3,4,4,4,4,4,4,4,4,4,4,2,3,10,5,3,4,4,4,4,4,4,4,4,4,4,3,13,1,4,2
170403,2018,12,31,11,4,NA,3,1,NA,"                                                                                                    ",4,4,4,4,1,1,1,1,1,1,1,4,5,4,3,4,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,1,1,1,5,1,5,5,3,3,4,4,4,4,4,4,4,5,5,5,1,5,5,2,2,10,6,1,1,2,1,1,5,5,1,1,5,5,2,11,1,4,2
170404,2018,12,31,9,1,NA,2,4,NA,"                                                                                                    ",4,4,4,2,4,5,5,5,5,5,5,2,4,1,5,1,3,1,5,1,1,1,1,1,3,1,6,6,6,6,6,1,4,0,0,0,0,0,0,0,0,0,0,4,3,1,3,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,7,35,32,50,2,2,5,5,5,5,5,1,4,5,2,2,13,1,4,2
170405,2018,12,31,7,2,NA,1,4,NA,"                                                                                                    ",3,2,3,4,4,NA,2,4,1,3,3,3,3,3,3,3,3,3,3,3,4,4,4,1,1,2,1,1,2,1,1,6,6,0,0,0,0,0,0,0,0,2,0,1,1,1,3,3,3,3,3,3,5,5,5,5,3,5,5,5,5,5,5,5,5,2,3,3,5,3,3,3,3,3,5,5,5,3,5,5,3,13,1,4,1
170406,2018,12,31,8,3,NA,1,4,NA,"                                                                                                    ",4,2,2,4,2,4,2,1,1,1,1,4,5,5,3,4,4,4,4,3,4,4,2,3,3,1,2,2,1,1,2,3,1,1,1,1,1,2,1,0,1,0,1,2,4,2,2,2,2,5,5,4,4,4,4,4,4,5,5,4,4,3,3,4,3,5,7,25,8,4,4,4,4,4,4,4,4,4,2,4,2,12,1,4,1
170407,2018,12,31,10,4,NA,2,3,NA,"                                                                                                    ",1,1,1,2,3,3,3,2,2,3,3,4,4,4,4,3,3,4,3,3,3,3,4,2,1,1,1,1,2,1,2,1,2,1,1,2,1,1,1,1,1,2,0,2,3,2,3,4,4,5,5,4,4,4,4,4,4,4,4,3,4,3,3,3,4,0.5,5,12,13,4,4,4,4,4,4,4,3,4,4,4,3,12,1,4,2
170408,2018,12,31,10,1,NA,3,4,NA,"                                                                                                    ",2,3,3,3,3,4,2,3,2,2,2,2,3,2,3,3,3,2,3,3,3,3,3,3,2,2,4,2,2,2,4,2,1,1,2,1,2,2,1,1,2,1,1,3,2,3,3,4,3,2,1,4,2,2,2,3,2,2,2,4,3,3,3,3,3,3,2,8,2,3,3,3,3,4,4,4,3,3,4,2,3,12,1,4,2
170409,2018,12,31,12,1,NA,2,3,NA,"                                                                                                    ",2,3,3,3,2,3,3,1,1,3,3,4,5,4,5,1,5,2,5,5,5,5,2,3,3,3,5,4,3,3,1,2,1,1,1,0,1,0,0,0,0,0,0,2,1,2,3,1,3,4,4,4,5,5,5,5,5,5,5,5,5,3,5,5,4,2.3806,6,9.547,1,3,3,3,4,4,4,4,1,1,3,3,2,13,1,4,1
170410,2018,12,31,13,4,NA,1,3,NA,"                                                                                                    ",5,5,5,5,NA,2,2,5,3,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5,5,5,4,3,1,5,5,5,5,5,5,5,5,5,5,1,2,2,2,2,2,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1,4,1
